h,label,count,frac
1,0,321,0.45021037868162694
1,1,201,0.28190743338008417
1,-1,191,0.26788218793828894
3,0,278,0.3899018232819074
3,1,222,0.31136044880785413
3,-1,213,0.29873772791023845
5,1,246,0.3450210378681627
5,-1,243,0.34081346423562414
5,0,224,0.3141654978962132
